Product Type,Stock Keeping Unit,Price,Availability,Number of products sold,Revenue generated,Gender,Stock levels,Order quantities,Shipping times,Shipping carriers,Shipping costs,Supplier name,Location,Lead time,Production volumes,Manufacturing lead time,Manufacturing costs,Inspection results,Defect rates,Transportation modes,Costs,Supply Dates
Health Care,SKU1,1041,23,370,2154,Male,52,285,97,Blue Dart,122,Vertex Suppliers,Delhi,23,541,23,78.74065216,Pass,3,Rail,897,25-04-1998
Yogamats,SKU2,2287,59,289,8913,Female,100,457,29,Delhivery,104,Global Trading,Visakhapatnam,58,315,55,10.8354559,Pass,3,Road,804,26-04-1998
Cloths,SKU3,1867,54,454,6171,Male,89,377,19,Safexpress,321,Prime Trading,Chandigarh,37,825,39,35.53092008,Pending,4,Road,627,27-04-1998
HomeGoods,SKU4,2939,56,375,4330,Male,99,482,20,FedEx,207,Global Trading,Mysuru,33,382,10,69.29526215,Pass,1,Sea,555,28-04-1998
Yogamats,SKU5,2645,40,480,4176,Female,63,307,23,DHL Express,118,Prime Logistics,Hyderabad,54,983,48,10.23921488,Fail,3,Road,330,29-04-1998
HomeGoods,SKU6,1132,81,249,7642,Other,60,244,63,Gati,189,Apex Suppliers,Belagavi,63,256,39,64.508501,Pass,4,Rail,396,30-04-1998
Health Care,SKU7,2021,59,383,2462,Male,67,382,73,Safexpress,417,Global Trading,Bhubaneswar,57,906,51,16.07685058,Pass,3,Air,664,01-05-1998
Health Care,SKU8,2116,77,100,8680,Male,54,349,42,DTDC,333,Vertex Logistics,Trichy,23,236,61,69.44769079,Pass,5,Air,516,02-05-1998
SkinCare,SKU9,1200,88,377,6804,Female,91,454,7,Gati,478,Apex Manufacturing,Indore,76,618,20,61.53778914,Pending,5,Rail,756,03-05-1998
Cosmetics ,SKU10,2953,39,252,4780,Male,59,264,74,DTDC,175,Global Suppliers,Gurgaon,37,848,77,77.17748985,Pass,1,Road,266,04-05-1998
Yogamats,SKU11,1969,45,347,7567,Female,73,417,66,Blue Dart,465,Global Trading,Bhopal,79,648,80,97.5536909,Fail,1,Air,554,05-05-1998
Yogamats,SKU12,967,53,371,4708,Female,96,497,71,Blue Dart,332,Apex Logistics,Indore,9,180,56,67.86506531,Pass,5,Rail,600,06-05-1998
Yogamats,SKU13,2106,37,269,3982,Other,51,226,81,Mahindra Logistics,443,Prime Manufacturing,Bengaluru,30,599,76,90.02551088,Fail,1,Road,805,07-05-1998
Yogamats,SKU14,1568,46,468,4574,Female,56,453,32,India Post,275,Nova Suppliers,Bhubaneswar,73,449,23,76.68005281,Pending,2,Air,174,08-05-1998
Health Care,SKU15,518,39,189,6640,Female,91,299,46,DTDC,427,Nova Industries,Ludhiana,7,397,33,36.63959754,Pass,2,Air,939,09-05-1998
Cosmetics ,SKU16,936,54,137,7942,Other,90,466,60,XpressBees,396,Global Manufacturing,Hubli,36,668,27,76.48064981,Fail,4,Sea,791,10-05-1998
